# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Selects a camera for viewport and screenshot rendering.;选择用于视口和截图渲染的摄像机。
Edit the currently active camera.;编辑当前活动的摄像机。
Edit the current render settings.;编辑当前渲染设置。
Select mode for visualizing material, bake, or texture project attributes in this viewport.;选择在此视口中可视化材质、烘焙或纹理项目属性的模式。
Speedy viewport mode. This disables various render features for a faster, more responsive viewport. (Ctrl+Shift+J);快速视口模式。此模式会禁用各种渲染功能，以获得更快、更灵敏的视口。（Ctrl+Shift+J）
Determines the behavior of selection outlines, where they can either be disabled, fade in, or be on perpetually.;确定选择轮廓的行为，可将其禁用、淡入或始终保持。
Determines if a viewport's position is independent, or if its position should be shared across multiple viewports.;确定视口的位置是独立的，还是在多个视口之间共享。
Determines if a viewport's scale is independent, or if its scale should be shared across multiple viewports.;确定视口的缩放是独立的，还是在多个视口之间共享。
Configure viewport settings.;配置视口设置。
Bakes all active outputs and writes them to disk.;烘焙所有活动输出并将其写入磁盘。
Exports all active bake outputs to a single, layered PSD file.;将所有活动的烘焙输出导出到单个分层 PSD 文件。
Cancels any ongoing bakes.;取消任何正在进行的烘焙。
Creates a new bake group. Bake groups are useful for isolating groups of geometry from one another to prevent unwanted intersections.;创建新的烘焙组。烘焙组用于将几何体组相互隔离，以防止不必要的交叉。
Toggles visibility of high-poly baker objects.;切换高模烘焙对象的可见性。
Toggles visibility of low-poly baker objects.;切换低模烘焙对象的可见性。
Unified material preview, produces a single result material for all bake meshes when enabled.;统一材质预览，启用时为所有烘焙网格生成单一的结果材质。
Refreshes material assignments, repairing or updating as needed.;刷新材质指定，按需修复或更新。
Removes any previews of baked maps displayed in the viewport.;移除视口中显示的任何烘焙贴图预览。
Loads a model (or models), and attempts automatic assignment to high and low polygon baker groups.;加载一个（或多个）模型，并尝试自动分配给高多边形和低多边形烘焙组。
Reloads any external mesh files, and assigns them as needed to high and low polygon baker groups.;重新加载任何外部网格文件，并按需分配给高多边形和低多边形烘焙组。
Removes any external mesh files from the baker.;从烘焙器中移除任何外部网格文件。
Automatically checks external mesh files for changes and reloads them as needed.;自动检查外部网格文件是否有更改，并按需重新加载。
Meshes hidden in the outliner will be used for baking.;大纲中隐藏的网格将用于烘焙。
Mesh transforms, such as rotation and position, will be ignored for the purposes of baking.;出于烘焙目的，网格变换（如旋转和位置）将被忽略。
Smooths low-poly mesh normals for the purposes of baking projection. This is generally helpful to avoid discontinuities along UV seams.;为烘焙投影目的平滑低模网格法线。这通常有助于避免 UV 接缝处的不连续。
Ignores the backsides of triangles on the high-poly mesh when baking. This is often useful for correctly baking crevices or floating geometry.;烘焙时忽略高模网格上三角形的背面。这对于正确烘焙缝隙或浮动几何体通常很有用。
Attempts to fix any issues arising from mirrored tangent spaces in low poly meshes.;尝试修复低模网格中镜像切线空间引起的问题。
Previews the baked map on the low-poly mesh in the viewport.;在视口中的低模网格上预览烘焙贴图。
Previews the baked map in the texture window.;在纹理窗口中预览烘焙贴图。
Edits the baked map.;编辑烘焙贴图。
Edit the settings of this map.;编辑此贴图的设置。
Allows the baker to cast through materials that are transparent. Useful for superimposing different meshes on top of each other.;允许烘焙器透过透明材质投射。适用于将不同网格相互叠加。
Selects a tangent space convention for all meshes. This is equivalent to changing the same setting on each low-poly mesh in the bake project manually.;为所有网格选择切线空间约定。这等同于在烘焙项目中手动更改每个低模网格上的相同设置。
Determines whether the tile name will be added before or after the map name when creating the file on disk.;确定在磁盘上创建文件时，图块名称是加在贴图名称之前还是之后。
Determines the separator used between the tile name and the map name when creating the file on disk.;确定在磁盘上创建文件时，图块名称与贴图名称之间使用的分隔符。
Enable or disable this tile.;启用或禁用此图块。
The suffix used when outputting the map file.;输出贴图文件时使用的后缀。
Overrides the global soften setting, allowing a unique soften value for this map.;覆盖全局软化设置，为此贴图提供唯一的软化值。
Applies a softening filter to the baked map. This value will override the global soften setting.;对烘焙贴图应用软化滤镜。此值将覆盖全局软化设置。
Enable texture sets, a way of baking multiple maps based on unique materials applied to low polygon mesh(es).;启用纹理集，这是一种基于应用于低多边形网格的独特材质来烘焙多个贴图的方法。
Output path for bake results. This path will be used in both multi-file and multi-layer PSD outputs.;烘焙结果的输出路径。此路径将用于多文件和多层 PSD 输出。
Width for all image outputs.;所有图像输出的宽度。
Height for all image outputs.;所有图像输出的高度。
Samples per pixel. Higher numbers may yield better quality for some outputs, but will greatly increase baking times.;每像素采样数。较高的数值可能为某些输出带来更好的质量，但会大大增加烘焙时间。
Bit precision per color channel. Higher precision results in larger files, often with fewer banding artifacts.;每个颜色通道的位精度。更高的精度会产生更大的文件，通常色带伪影更少。
Pads the resulting outputs to fill empty areas of the UV layout. This is generally useful to prevent filtering or mipmapping artifacts along UV borders.;对结果输出进行填充，以填满 UV 布局中的空白区域。这通常有助于防止 UV 边缘的过滤或 mip 映射伪影。
Applies a softening filter to the baked surface. This can be useful for smoothing borders around floaters or other hard edges.;对烘焙表面应用软化滤镜。这可用于平滑浮动物或其他硬边周围的边缘。
Bake a tangent-space normal map. The normal orientations will match the tangent space selected for each low poly mesh.;烘焙切线空间法线贴图。法线方向将与为每个低模网格选择的切线空间一致。
Bake an object-space normal map.;烘焙对象空间法线贴图。
Bake a tangent-space bent normal map where the normals will be oriented in the direction of least occlusion.;烘焙切线空间弯曲法线贴图，法线方向指向遮蔽最少的方向。
Bake an object-space bent normal map where the normals will be oriented in the direction of least occlusion.;烘焙对象空间弯曲法线贴图，法线方向指向遮蔽最少的方向。
Bake a height map.;烘焙高度贴图。
Bake a position gradient map.;烘焙位置渐变贴图。
Bake a vertex color map.;烘焙顶点颜色贴图。
Bake a curvature map.;烘焙曲率贴图。
Bake a convex curvature map.;烘焙凸曲率贴图。
Bake a concave curvature map.;烘焙凹曲率贴图。
Bakes a thickness map for use in subsurface scattering materials.;烘焙用于次表面散射材质的厚度贴图。
Bake an ambient occlusion map.;烘焙环境光遮蔽贴图。
Bake a second ambient occlusion map, with separate settings.;烘焙第二张环境光遮蔽贴图，使用单独的设置。
Bakes a diffuse lighting map with all visible lights in the scene.;烘焙包含场景中所有可见灯光的漫反射光照贴图。
Bakes a specular lighting map with all visible lights in the scene.;烘焙包含场景中所有可见灯光的高光光照贴图。
Bakes a complete map of all lighting, shadows, and material effects.;烘焙包含所有光照、阴影和材质效果的完整贴图。
Bakes a map of diffuse and specular indirect lighting bounces.;烘焙漫反射和高光间接光照反弹贴图。
Bake a material ID map. Each color in this map corresponds to a different material assigned to the high poly mesh.;烘焙材质 ID 贴图。此贴图中的每种颜色对应分配给高模网格的不同材质。
Bake a Object ID map. Each color in this map corresponds to a different object assigned to the high poly mesh.;烘焙对象 ID 贴图。此贴图中的每种颜色对应分配给高模网格的不同对象。
Bake a Group ID map. Each color in this map corresponds to a different bake group assigned to the high poly mesh.;烘焙组 ID 贴图。此贴图中的每种颜色对应分配给高模网格的不同烘焙组。
Bake a UV Island map. Each color in this map corresponds to a different UV island.;烘焙 UV 孤岛贴图。此贴图中的每种颜色对应不同的 UV 孤岛。
Bake an alpha mask based on the geometry of the high poly mesh.;根据高模网格的几何体烘焙 alpha 遮罩。
Bake a wireframe mesh overlay from the low poly mesh.;从低模网格烘焙线框网格叠加。
Bake a composite emissive map from materials assigned to the high poly mesh.;从分配给高模网格的材质烘焙合成自发光贴图。
Bake a composite alpha map from materials assigned to the high poly mesh.;从分配给高模网格的材质烘焙合成 alpha 贴图。
Reverse the X (red) axis on tangent space normal maps.;反转切线空间法线贴图的 X（红色）轴。
Reverse the Y (green) axis on tangent space normal maps.;反转切线空间法线贴图的 Y（绿色）轴。
Reverse the Z (blue) axis on tangent space normal maps.;反转切线空间法线贴图的 Z（蓝色）轴。
Inner height map distance from the low poly mesh, in world units. This value maps to black in the height map.;高度贴图内部到低模网格的距离（以世界单位计）。此值对应高度贴图中的黑色。
Outer height map distance from the low poly mesh, in world units. This value maps to white in the height map.;高度贴图外部到低模网格的距离（以世界单位计）。此值对应高度贴图中的白色。
The method by which you normalize position data.;位置数据的归一化方法。
Sets the scale of the curvature output. Smoother meshes may require a higher strength value to make features clearly visible.;设置曲率输出的比例。较平滑的网格可能需要更高的强度值才能使特征清晰可见。
Determines the width of the curvature features.;确定曲率特征的宽度。
Sets the size of curvature highlights. Higher sharpness values give tighter, more distinct feature silhouettes but may obscure some details.;设置曲率高光的大小。较高的锐度值会使特征轮廓更紧凑、更清晰，但可能掩盖一些细节。
Outputs UV island vector data as an additional SVG file.;将 UV 孤岛矢量数据输出为额外的 SVG 文件。
When baking specular materials into metalness, specular values higher than this threshold will be treated as metal.;将高光材质烘焙为金属度时，高于此阈值的高光值将被视为金属。
Adjusts the brightness of the baked lighting.;调整烘焙光照的亮度。
Limits the number of ray traced diffuse and specular light reflections. Higher values improve image quality but take longer to render.;限制光线追踪漫反射和高光反射的数量。较高的值可提高图像质量，但渲染时间更长。
Adjusts the strength of the denoising effect. A value of zero skips denoising altogether.;调整降噪效果的强度。值为零时完全跳过降噪。
Selects the type of indirect light to be included in the bake.;选择烘焙中包含的间接光类型。
Sample rays for each pixel of the map. Higher ray counts will result in higher quality, but will increase bake times.;贴图每个像素的采样射线。更高的射线数量会带来更高的质量，但会增加烘焙时间。
Provides occlusion beneath the model, simulating a floor plane.;在模型下方提供遮蔽，模拟地板平面。
Adjusts the strength of the floor occlusion effect, which simulates a plane beneath the model.;调整地板遮蔽效果的强度，该效果模拟模型下方的平面。
Uses both sides of polygons for occlusion tests. This may cause areas of mesh intersection to become fully occluded if "Ignore Groups" is also enabled.;对遮蔽测试使用多边形的两侧。如果同时启用“忽略组”，这可能会导致网格交叉区域被完全遮蔽。
Dithering adds subtle noise to 8-bit outputs to prevent banding.;抖动会为 8 位输出添加细微噪点以防止色带。
The maximum distance a sample ray can travel. A setting of 0 results in unlimited distance.;采样射线可以行进的最大距离。设为 0 表示不限距离。
Adjusts the scale of the thickness value range, as a proportion of the model bounds.;调整厚度值范围的比例，作为模型边界的一部分。
Applies a gamma curve to the final color values. Use this if you prefer a higher-contrast appearance.;对最终颜色值应用伽马曲线。如果你喜欢更高对比度的外观，请使用此选项。
Applies a gamma curve to the vertex color values. Use this setting if the vertex colors on your mesh are not linear values.;对顶点颜色值应用伽马曲线。如果网格上的顶点颜色不是线性值，请使用此设置。
Includes vertex alpha values in the final result.;在最终结果中包含顶点 alpha 值。
Set the thickness of the wireframe being rendered.;设置正在渲染的线框的厚度。
Set the color of the wireframe being rendered.;设置正在渲染的线框的颜色。
Sets the relative vertex radius of the wireframe being rendered, 1.0 means it's the same radius as line thickness.;设置正在渲染的线框的相对顶点半径，1.0 表示与线条厚度相同的半径。
Displays the cage mesh offset in the viewport.;在视口中显示笼网偏移。
Display the cage mesh skew directions in the viewport.;在视口中显示笼网倾斜方向。
Minimum cage offset. This specifies the minimum distance the cage will trace from the low-poly mesh. This value corresponds to black in the offset map.;最小笼偏移。指定笼从低模网格追踪的最小距离。此值对应偏移贴图中的黑色。
Maximum cage offset. This specifies the maximum distance the cage will trace from the low-poly mesh. This value corresponds to white in the offset map.;最大笼偏移。指定笼从低模网格追踪的最大距离。此值对应偏移贴图中的白色。
Overwrites the current cage offset map with a best-guess estimate for height.;用高度最佳估算值覆盖当前的笼偏移贴图。
Set the visibility of the offset cage that the baker uses.;设置烘焙器使用的偏移笼的可见性。
Exclude this mesh from the Ignore Groups option for passes such as AO, Thickness, Lighting.;在 AO、厚度、光照等通道中，将此网格从“忽略组”选项中排除。
Use a custom cage when baking. You may want to do this for better fine grain control over the location of cage points.;烘焙时使用自定义笼。你可能希望这样做，以便对笼点位置进行更精细的控制。
Remove the custom cage for this mesh.;移除此网格的自定义笼。
Brush Color;画笔颜色
Brush Size;画笔大小
Brush Flow;画笔流量
Brush Value;画笔数值
Brush Sharpness;画笔锐度
Clear the canvas to its default color.;将画布清除为默认颜色。
Linear;线性
Radial;径向
Reflected;反射
Diamond;菱形
Knurled;滚花
Plays the animation.;播放动画。
Pauses the animation.;暂停动画。
Goes to the first frame.;转到第一帧。
Goes to the previous frame.;转到上一帧。
Goes to the next frame.;转到下一帧。
Goes to the previous keyframe.;转到上一个关键帧。
Goes to the next keyframe.;转到下一个关键帧。
Goes to the last frame.;转到最后一帧。
Toggles looping of animation playback.;切换动画播放的循环。
Determines the total frame count of the animation.;确定动画的总帧数。
Determines the frame rate, or frames per second, of the animation.;确定动画的帧率（每秒帧数）。
Determines the length of the animation in seconds.;确定动画的时长（以秒为单位）。
Sets the playback speed for preview purposes. Preview speed is not applied to exported video content.;设置用于预览的播放速度。预览速度不应用于导出的视频内容。
Scales the animation to match the preview speed. Use this if you want to permanently speed up or slow down your animation.;缩放动画以匹配预览速度。如果你想要永久加快或减慢动画，请使用此选项。
Determines whether to show all frames in the timeline or only the frames within the selection range.;确定时间轴中显示所有帧，还是仅显示选择范围内的帧。
Trims the animation to the selected frame range.;将动画裁剪到选定的帧范围。
Sets the falloff for the selected control point to stepped, which is useful for instantaneous changes in motion.;将选定控制点的衰减设置为阶跃，适用于瞬间变化的运动。
Sets the falloff for the selected control point to linear, which is useful for constant motion like a camera rotating at a fixed rate.;将选定控制点的衰减设置为线性，适用于恒定运动，如以固定速率旋转的摄像机。
Sets the falloff for the selected control point to smooth, which is useful for setting up smooth changes in motion or velocity.;将选定控制点的衰减设置为平滑，适用于设置运动或速度的平滑变化。
Splits the falloff for the selected control point into separate before-and-after tangents, which can be independently edited.;将选定控制点的衰减拆分为可独立编辑的前后切线。
Add a new keyframe, or control point for the selected channels at the current frame.;在当前帧为选定的通道添加新的关键帧（控制点）。
Deletes the selected control point(s).;删除选中的控制点。
Deletes ALL keyframed data for the selected object(s).;删除选中对象的所有关键帧数据。
Toggles the display of multiple channels between stacked and overlaid drawing styles.;在堆叠与叠加的绘制样式之间切换多个通道的显示。
Toggles the display of numeric values.;切换数值的显示。
Toggles the auto-fit function. When on, auto-fit will scale the visible range to fill out the vertical space in the keyframe editor.;切换自动适配功能。启用时，自动适配会缩放可见范围以填满关键帧编辑器中的垂直空间。
Resets the zoom state.;重置缩放状态。
Sets the current animation for the object.;为对象设置当前动画。
Sets the playback speed for the object.;为对象设置播放速度。
Smoothly interpolate start and end frames.;平滑插值起始帧和结束帧。
The name of the custom animation (this will appear in the dropdown list).;自定义动画的名称（将出现在下拉列表中）。
The start frame of the custom animation, using the original model FPS.;自定义动画的起始帧，使用原始模型帧率。
The end frame of the custom animation, using the original model FPS.;自定义动画的结束帧，使用原始模型帧率。
The total playback duration in scene time.;场景时间中的总播放时长。
Delete the custom animation entry.;删除自定义动画条目。
Add a custom animation entry.;添加自定义动画条目。
Import matching animation data from another file (models must be similar).;从另一个文件导入匹配的动画数据（模型必须相似）。
Automatically adjust the spin rate for a continuous loop (based on timeline length).;自动调整连续循环的旋转速率（基于时间轴长度）。
Add a new paint layer.;添加新的绘画图层。
Add a new vector layer.;添加新的矢量图层。
Add a new fill layer.;添加新的填充图层。
Add a new decal layer.;添加新的贴花图层。
Add a new adjustment layer.;添加新的调整图层。
Add a new input processor layer.;添加新的输入处理器图层。
Add a new procedural layer.;添加新的程序化图层。
Duplicate the selected item.;复制选中的项目。
Add a layer group.;添加图层组。
Add a layer carve group.;添加图层雕刻组。
Delete the selected item(s).;删除选中的项目。
Add mask to selected layer.;为选中的图层添加遮罩。
Add a new sync point layer. Sync points synchronize input curvature, height, and ambient occlusion maps with layers below.;添加新的同步点图层。同步点将输入曲率、高度和环境光遮蔽贴图与下方的图层同步。
Regenerate any out-of-date sync point maps.;重新生成任何过期的同步点贴图。
Open the sync point settings window.;打开同步点设置窗口。
Clears the activity log.;清除活动日志。
Displays only errors in the activity log.;仅显示活动日志中的错误。
Width and Height of the texture project output.;纹理项目输出的宽度和高度。
Adjust the pixel size of the texture project.  Paint layers will be resized to the new resolution.;调整纹理项目的像素大小。绘画图层将调整为新分辨率。
Enables extension of pixel values beyond the UV borders, which reduces artifacts near UV seams.;允许像素值扩展到 UV 边界之外，从而减少 UV 接缝附近的伪影。
Sets the size of the UV padding effect in pixels.;设置 UV 填充效果的大小（以像素为单位）。
Link the currently selected material in the material editor to this texture project.;将材质编辑器中当前选中的材质链接到此纹理项目。
Create a new material and link it to this texture project.;创建新材质并将其链接到此纹理项目。
Remove this linked material from the texture project.;从此纹理项目移除链接的材质。
Click to load or replace a texture map for this texture project;单击以加载或替换此纹理项目的纹理贴图。
Remove this input map from the texture project, any layer types that require this input may no longer render correctly.;从此纹理项目移除此输入贴图，任何需要此输入的图层类型可能不再正确渲染。
Add an additional input map.;添加额外的输入贴图。
Project map settings.;项目贴图设置。
Remove this project map.;移除此项目贴图。
Add an additional project map.;添加额外的项目贴图。
Save all textures to disk.;将所有纹理保存到磁盘。
The location on disk where the images will be saved.;图像将保存到磁盘上的位置。
Set the word(s) that will be appended to the end of the file.;设置将附加到文件末尾的文字。
Save only this image to disk.;仅将此图像保存到磁盘。
Remove this output map.;移除此输出贴图。
Add an additional output map.;添加额外的输出贴图。
Selects which style texture output is used. Types with + in the name allow packing of different Project Maps in the various channels.;选择使用的样式纹理输出。名称中带 + 的类型允许在各种通道中打包不同的项目贴图。
Selects the file type for the exported image.;选择导出图像的文件类型。
Selects which Project Map to pack into this slot.;选择要打包到此槽位的项目贴图。
Sets the bit-depth of this output map.;设置此输出贴图的位深。
Sets the size multiplier for texture export.;设置纹理导出的大小倍率。
Set the resolution of the tile.;设置图块的分辨率。
Link the width and height of the tile to global resolution.;将图块的宽度和高度链接到全局分辨率。
Determines whether the bump map is combined with the normal map for additional height map detail.;确定凹凸贴图是否与法线贴图结合，以获取额外的高度贴图细节。
Sets the strength of the bump mapping effect.;设置凹凸贴图效果的强度。
Determines whether the displacement map is sent to the displacement or parallax input in the material system.;确定置换贴图是发送到材质系统中的置换输入还是视差输入。
Determines whether the thickness input map is used as the base content for the scatter project map.;确定厚度输入贴图是否用作散射项目贴图的基础内容。
Generate and save the final image to disk.;生成最终图像并保存到磁盘。
Open the folder where the image is saved.;打开保存图像的文件夹。
Generate and save the final video to disk.;生成最终视频并保存到磁盘。
Open the folder where the video is saved.;打开保存视频的文件夹。
Remove this render camera.;移除此渲染摄像机。
Create a new camera in the scene and add it to this list.;在场景中创建新摄像机并将其添加到此列表。
Adjust the extra parameters for this render pass.;调整此渲染通道的额外参数。
Add an additional render pass.;添加额外的渲染通道。
Open the last render saved to disk.;打开保存到磁盘的最后一次渲染。
Preview  the last render saved to disk.;预览保存到磁盘的最后一次渲染。
Remove this render pass.;移除此渲染通道。
Browse for the export directory.;浏览导出目录。
Split this viewport horizontally or vertically.;水平或垂直分割此视口。
Pop this viewport out into a floating window.;将此视口弹出为浮动窗口。
Maximize this viewport.;最大化此视口。
When green, indicates this viewport is active.;绿色时表示此视口处于活动状态。
Sample a given color or material data on the screen.;在屏幕上采样指定的颜色或材质数据。
Reset the reference material to its original state.;将参考材质重置为其原始状态。
Reload the reference material from disk.;从磁盘重新加载参考材质。
Remove the reference material.;移除参考材质。
Create a copy of this material in the material editor.;在材质编辑器中创建此材质的副本。
Import a material from disk.;从磁盘导入材质。
Material mode receives texture content from the reference material.;材质模式从参考材质接收纹理内容。
Texture mode allows you to load a custom texture map.;纹理模式允许你加载自定义纹理贴图。
Load or replace this texture map.;加载或替换此纹理贴图。
Reset this map's color to its original state.;将此贴图的颜色重置为其原始状态。
Inverts the values of this map.;反转此贴图的值。
Edit the color of this map type.;编辑此贴图类型的颜色。
Sets the value for this map type.;设置此贴图类型的值。
Adjust the contrast for this map type.;调整此贴图类型的对比度。
Interprets this normal map as either right- (Y+) or left-handed (Y-) coordinate space.;将此法线贴图解释为右手（Y+）或左手（Y-）坐标空间。
Create a new texture project.;创建新的纹理项目。
Toggle this layer's visibility.;切换此图层的可见性。
Expand or collapse this layer's children.;展开或折叠此图层的子项。
Set the opacity for the selected layer.;设置选中图层的不透明度。
Toggle opacity linking, which synchronizes the opacity setting for all map types. Turn off to adjust the opacity of only the selected map type.;切换不透明度链接，该链接会同步所有贴图类型的不透明度设置。关闭后仅调整所选贴图类型的不透明度。
Select which project maps this layer modifies.;选择此图层修改哪些项目贴图。
Set the texture width.;设置纹理宽度。
Set the texture height.;设置纹理高度。
Lock or unlock the texture's aspect ratio.;锁定或解锁纹理的宽高比。
Set the sensitivity of the wand tool.;设置魔棒工具的灵敏度。
Determines whether the selection area is limited to connected meshes.;确定选区是否仅限于相连的网格。
Sets whether the wand tool uses the 3D viewport or 2D canvas area to create the selection;设置魔棒工具是使用 3D 视口还是 2D 画布区域来创建选区。
Determines whether the texture values are sampled from all layers or the current layer when creating the wand selection;确定创建魔棒选区时，纹理值是从所有图层还是当前图层采样。
Determines whether objects will occlude the resulting selection.;确定对象是否会遮蔽生成的选区。
Determines whether the edges of the selection will be filtered to reduce jaggedness.;确定是否对选区边缘进行过滤以减少锯齿。
Sets how soft or blurry the edges of the selection will be.;设置选区边缘的柔和或模糊程度。
Fades out non-selected areas.;淡出未选中区域。
If checked, a single click will select an entire mesh instead of an isolated chunk.  Double-click always selects an entire mesh.;勾选后，单击将选择整个网格，而不是孤立的一块。双击始终选择整个网格。
Enable dynamics like pressure sensitivity, tilt, or fade over stroke for this setting.;为此设置启用压感、倾斜或笔触渐隐等动态。
Load or replace the brush tip texture.;加载或替换笔尖纹理。
Determines whether the brush tip texture follows the direction of the brush stroke.;确定笔尖纹理是否跟随笔触方向。
Determines whether flow is regulated by spacing, which can provide more consistent opacity buildup when enabled.;确定流量是否由间距调节，启用后可提供更一致的不透明度累积。
Sets the mask value, with 0 or black defining transparent areas and 1 or white defining opaque areas.;设置遮罩值，0 或黑色定义透明区域，1 或白色定义不透明区域。
Set how much random variation is applied to this value.;设置应用于此值的随机变化量。
Sets how the brush is projected relative to the surface of the mesh.;设置画笔相对于网格表面的投影方式。
Sets the unit system that determines how large the brush is in relation to the mesh.;设置决定画笔相对于网格大小的单位制。
Sets whether the brush-stroke will be restricted to the mesh object the brush first comes in contact with.;设置笔触是否仅限于画笔首先接触到的网格对象。
Determines whether the brush texture will be stretched to wrap around the mesh geometry.;确定画笔纹理是否会被拉伸以环绕网格几何体。
Determines whether meshes will prevent the brush-stroke from painting on through and other meshes.;确定网格是否会阻止笔触透画到其他网格。
Sets how hard or soft the brush edges are.;设置画笔边缘的硬度或柔软度。
Sets how tight the brush shape is.;设置画笔形状的紧凑程度。
Sets the rotation of the brush.;设置画笔的旋转。
Sets the random positional offset of the brush.;设置画笔的随机位置偏移。
Sets how transparent or opaque the brush is.;设置画笔的透明或不透明程度。
Sets the distance between each brush splot.;设置每个笔迹之间的距离。
Sets the buildup speed of the brush opacity.;设置画笔不透明度的累积速度。
Sets how large the brush is.;设置画笔的大小。
Sets how narrow the brush is.;设置画笔的窄度。
Sets the degree of procedural brush shape distortion.;设置程序化画笔形状的扭曲程度。
Adjusts contrast of the brush tip texture.;调整笔尖纹理的对比度。
Sets the input smoothing distance. Larger values will result in smoother brush strokes with a longer delay.;设置输入平滑距离。较大的值会产生更平滑的笔触，但延迟更长。
Reset the initial source position at the end of the stroke.;在笔触结束时重置初始源位置。
Save the current brush to the asset library.;将当前画笔保存到资源库。
Save the current brush to disk.;将当前画笔保存到磁盘。
Import a brush (.tbtool file) from disk.;从磁盘导入画笔（.tbtool 文件）。
Enable symmetry of paint strokes along a given axis.;启用沿指定轴的绘画笔触对称。
Enable symmetry of gradients along a given axis.;启用沿指定轴的渐变对称。
Enable symmetry of vector shapes along a given axis.;启用沿指定轴的矢量形状对称。
Choose the axis or plane of symmetry.;选择对称轴或对称平面。
Choose between mirror mode, which flips the brush stroke to the other side, or radial mode, which instances the stroke in a circular array.;在镜像模式（将笔触翻转到另一侧）和径向模式（在环形阵列中实例化笔触）之间选择。
Choose between mirror mode, which flips the gradient to the other side, or radial mode, which instances the gradient in a circular array.;在镜像模式（将渐变翻转到另一侧）和径向模式（在环形阵列中实例化渐变）之间选择。
Choose between mirror mode, which flips each shape to the other side, or radial mode, which instances the shape in a circular array.;在镜像模式（将每个形状翻转到另一侧）和径向模式（在环形阵列中实例化形状）之间选择。
Sets the number of instances for radial symmetry.;设置径向对称的实例数量。
Position of the axis of symmetry.;对称轴的位置。
Rotation of the axis of symmetry.;对称轴的旋转。
Quickly align the axis of symmetry with an object or geometry feature.;快速将对称轴与对象或几何特征对齐。
Adjust the axis of symmetry inside the viewport.;在视口内调整对称轴。
Reset the position and direction of the axis of symmetry.;重置对称轴的位置和方向。
Choose the alignment mode. Object snaps the axis to the center of a mesh. Geometry allows you to select a face, edge, or vertex.;选择对齐模式。对象模式将轴吸附到网格中心。几何模式允许你选择面、边或顶点。
Invert the stencil coverage area.;反转模板覆盖区域。
Fade the edges of the stencil.;淡出模板边缘。
Opacity of the viewport stencil overlay.;视口模板叠加的不透明度。
When checked, the stencil will repeat to fill the viewport.;勾选后，模板将重复以填满视口。
When checked, the stencil overlay will disappear while painting.;勾选后，绘画时模板叠加将消失。
Adjust the amount of blur applied to the stencil.;调整应用于模板的模糊量。
Adjust the tiling frequency of the stencil.;调整模板的平铺频率。
Adjust the position of the stencil inside the viewport.;调整视口内模板的位置。
Rotate the stencil.;旋转模板。
Reset the stencil to its default position.;将模板重置为默认位置。
Adjust the stencil's contrast.;调整模板的对比度。
Sets the size or intensity of the blur effect.;设置模糊效果的大小或强度。
Blur across UV seams.;跨 UV 接缝模糊。
Sets the color matching sensitivity.;设置颜色匹配灵敏度。
Choose the color to sample from.;选择要采样的颜色。
Remove this color selection entry.;移除此颜色选择条目。
Edit the color for this entry.;编辑此条目的颜色。
Add an additional color selection entry.;添加额外的颜色选择条目。
Sets the strength of the cellular procedural.;设置细胞程序化效果的强度。
Inverts the cellular procedural.;反转细胞程序化效果。
Sets the detail size of the cellular procedural.;设置细胞程序化效果的细节大小。
Sets the randomness for the cellular procedural.;设置细胞程序化效果的随机性。
Sets how angular or soft the cellular procedural is.;设置细胞程序化效果的棱角或柔和程度。
Sets the smoothing curve offset, gradually inverting the result as phase reaches 1.;设置平滑曲线偏移，随着相位达到 1，结果逐渐反转。
Sets how distorted the cellular procedural is.;设置细胞程序化效果的扭曲程度。
Sets the detail scale of the warp effect.;设置扭曲效果的细节比例。
Resets the original settings for this effect.;重置此效果的原始设置。
Sets the color for the primary checker squares.;设置主棋盘格方块的颜色。
Sets the color for the secondary checker squares.;设置次棋盘格方块的颜色。
Sets the contrast for the checkered procedural.;设置棋盘格程序化效果的对比度。
Inverts the checkered procedural.;反转棋盘格程序化效果。
Sets the number of tiles.;设置图块数量。
Sets how distorted the checkered procedural is.;设置棋盘格程序化效果的扭曲程度。
Resets the original settings for this layer.;重置此图层的原始设置。
Sets the strength of the clouds procedural.;设置云朵程序化效果的强度。
Inverts the clouds procedural.;反转云朵程序化效果。
Sets the detail size of the clouds procedural.;设置云朵程序化效果的细节大小。
Sets how grainy the clouds procedural is.;设置云朵程序化效果的颗粒感。
Sets how distorted the clouds procedural is.;设置云朵程序化效果的扭曲程度。
Sets the strength of the curvature processor.;设置曲率处理器的强度。
Inverts the curvature processor.;反转曲率处理器。
Sets the contrast of the curvature processor.;设置曲率处理器的对比度。
Sets the middle point of the contrast effect.;设置对比效果的中点。
Sets how sharp or blurry the details are.;设置细节的锐利或模糊程度。
Sets the strength of the edges or convex regions.;设置边缘或凸区域的强度。
Sets the width of the convex regions.;设置凸区域的宽度。
Sets the strength of the cavities or concave regions.;设置空腔或凹区域的强度。
Sets the width of the concave regions.;设置凹区域的宽度。
Resets the selected channel.;重置选定的通道。
Resets all channels.;重置所有通道。
Sets which axis to process.;设置要处理的轴。
Sets the strength of the direction processor.;设置方向处理器的强度。
Inverts the direction processor.;反转方向处理器。
Sets the contrast of the direction processor.;设置方向处理器的对比度。
